id,time,H,T
1693364400.c1.snap.jpg,1693364400,0.34,4.1
1693366200.c1.snap.jpg,1693366200,0.37,4.1
1693368000.c1.snap.jpg,1693368000,0.4,4.26
1693369800.c1.snap.jpg,1693369800,0.4,4.26
1693371600.c1.snap.jpg,1693371600,0.38,4.1
1693373400.c1.snap.jpg,1693373400,0.36,4.1
1693375200.c1.snap.jpg,1693375200,0.37,4.1
1693377000.c1.snap.jpg,1693377000,0.35,4.26
1693378800.c1.snap.jpg,1693378800,0.33,3.66
1693380600.c1.snap.jpg,1693380600,0.32,3.94
1693382400.c1.snap.jpg,1693382400,0.31,3.66
1693405800.c1.snap.jpg,1693405800,0.27,2.84
1693407600.c1.snap.jpg,1693407600,0.26,2.56
1693409400.c1.snap.jpg,1693409400,0.24,2.7
1693411200.c1.snap.jpg,1693411200,0.22,2.62
1693413000.c1.snap.jpg,1693413000,0.19,2.32
1693414800.c1.snap.jpg,1693414800,0.19,2.32
1693416600.c1.snap.jpg,1693416600,0.25,2.7
1693418400.c1.snap.jpg,1693418400,0.24,2.7
1693420200.c1.snap.jpg,1693420200,0.23,2.32
1693422000.c1.snap.jpg,1693422000,0.21,2.7
1693432800.c1.snap.jpg,1693432800,0.15,2.44
1693434600.c1.snap.jpg,1693434600,0.15,2.44
1693436400.c1.snap.jpg,1693436400,0.16,2.44
1693438200.c1.snap.jpg,1693438200,0.2,2.56
1693440000.c1.snap.jpg,1693440000,0.27,2.76
1693441800.c1.snap.jpg,1693441800,0.33,2.76
1693445400.c1.snap.jpg,1693445400,0.35,3.2
1693447200.c1.snap.jpg,1693447200,0.37,3.3
1693449000.c1.snap.jpg,1693449000,0.33,3.02
1693450800.c1.snap.jpg,1693450800,0.3,3.2
1693452600.c1.snap.jpg,1693452600,0.26,3.02
1693454400.c1.snap.jpg,1693454400,0.23,3.02
1693456200.c1.snap.jpg,1693456200,0.2,2.92
1693458000.c1.snap.jpg,1693458000,0.16,2.62
1693459800.c1.snap.jpg,1693459800,0.13,2.44
1693461600.c1.snap.jpg,1693461600,0.12,20.48
1693463400.c1.snap.jpg,1693463400,0.12,20.48
1693465200.c1.snap.jpg,1693465200,0.12,25.6
